ID,HeartPy_Metrics
0033,"{'bpm': np.float64(59.60796301249474), 'ibi': np.float64(1006.5769230769231), 'sdnn': np.float64(198.15750787944947), 'sdsd': np.float64(0.0), 'rmssd': np.float64(19.0), 'pnn20': 0.0, 'pnn50': 0.0, 'hr_mad': np.float64(180.5), 'sd1': np.float64(0.0), 'sd2': np.float64(0.0), 's': np.float64(0.0), 'sd1/sd2': np.float64(nan), 'breathingrate': np.float64(0.11463945890175398)}"
0035,"{'bpm': np.float64(57.245160070722456), 'ibi': np.float64(1048.1235431235432), 'sdnn': np.float64(27.72405871684952), 'sdsd': np.float64(14.226138300236332), 'rmssd': np.float64(24.098688577012968), 'pnn20': 0.3220536756126021, 'pnn50': 0.008168028004667444, 'hr_mad': np.float64(20.0), 'sd1': np.float64(17.040344112947988), 'sd2': np.float64(35.32624271351399), 's': np.float64(1891.1487144581629), 'sd1/sd2': np.float64(0.4823706911357781), 'breathingrate': np.float64(0.22239766927242605)}"
0036,"{'bpm': np.float64(75.70621665850466), 'ibi': np.float64(792.5372928176796), 'sdnn': np.float64(62.170457102369554), 'sdsd': np.float64(33.52868778169055), 'rmssd': np.float64(54.57560185755971), 'pnn20': 0.6980854197349042, 'pnn50': 0.3475699558173785, 'hr_mad': np.float64(39.5), 'sd1': np.float64(38.590572434987976), 'sd2': np.float64(79.14641496239109), 's': np.float64(9595.383593622435), 'sd1/sd2': np.float64(0.487584591839384), 'breathingrate': np.float64(0.24399170428205444)}"
0037,"{'bpm': np.float64(69.40702309113986), 'ibi': np.float64(864.4658325312801), 'sdnn': np.float64(43.769438547628745), 'sdsd': np.float64(16.90511814794751), 'rmssd': np.float64(24.139980721578613), 'pnn20': 0.24879459980713597, 'pnn50': 0.023143683702989394, 'hr_mad': np.float64(30.0), 'sd1': np.float64(17.069542703992553), 'sd2': np.float64(59.47340633166832), 's': np.float64(3189.294122470802), 'sd1/sd2': np.float64(0.28701135107008974), 'breathingrate': np.float64(0.13360350931884477)}"
0038,"{'bpm': np.float64(96.43649696073071), 'ibi': np.float64(622.1710855427714), 'sdnn': np.float64(10.136079835390051), 'sdsd': np.float64(5.814448108445443), 'rmssd': np.float64(8.355825501996785), 'pnn20': 0.0, 'pnn50': 0.0, 'hr_mad': np.float64(10.0), 'sd1': np.float64(5.908459814949438), 'sd2': np.float64(13.05692569611849), 's': np.float64(242.3623146211453), 'sd1/sd2': np.float64(0.45251538933899893), 'breathingrate': np.float64(0.12060592416299488)}"
0039,"{'bpm': np.float64(60.89429401760323), 'ibi': np.float64(985.3139931740615), 'sdnn': np.float64(64.67034052889176), 'sdsd': np.float64(37.17931937804528), 'rmssd': np.float64(59.709706894883716), 'pnn20': 0.7166064981949458, 'pnn50': 0.3862815884476534, 'hr_mad': np.float64(40.999999999999886), 'sd1': np.float64(42.207652980266126), 'sd2': np.float64(81.31893803358466), 's': np.float64(10782.830399629882), 'sd1/sd2': np.float64(0.5190384183673722), 'breathingrate': np.float64(0.1558846453624318)}"
0040,"{'bpm': np.float64(72.85805151764932), 'ibi': np.float64(823.5191409897292), 'sdnn': np.float64(57.62838026980056), 'sdsd': np.float64(36.71510442387859), 'rmssd': np.float64(61.58066858975593), 'pnn20': 0.7632850241545893, 'pnn50': 0.4096618357487923, 'hr_mad': np.float64(36.0), 'sd1': np.float64(43.54378664047009), 'sd2': np.float64(68.28310277907052), 's': np.float64(9340.912700538505), 'sd1/sd2': np.float64(0.6376949035452547), 'breathingrate': np.float64(0.31746751627021014)}"
0041,"{'bpm': np.float64(66.73100461350155), 'ibi': np.float64(899.1322751322751), 'sdnn': np.float64(61.66288676196146), 'sdsd': np.float64(36.98636281278589), 'rmssd': np.float64(53.712373884238765), 'pnn20': 0.5859872611464968, 'pnn50': 0.22823779193205945, 'hr_mad': np.float64(40.0), 'sd1': np.float64(37.98027698978376), 'sd2': np.float64(78.39602219957986), 's': np.float64(9354.100413702146), 'sd1/sd2': np.float64(0.48446688906095164), 'breathingrate': np.float64(0.14123130156413666)}"
0042,"{'bpm': np.float64(78.65278684489904), 'ibi': np.float64(762.8464598249801), 'sdnn': np.float64(55.24260060709219), 'sdsd': np.float64(35.71425503770195), 'rmssd': np.float64(56.32389039046466), 'pnn20': 0.6762956669498725, 'pnn50': 0.3389974511469839, 'hr_mad': np.float64(34.0), 'sd1': np.float64(39.82683430278746), 'sd2': np.float64(65.18214092809126), 's': np.float64(8155.569270459648), 'sd1/sd2': np.float64(0.6110083795302812), 'breathingrate': np.float64(0.32329047127407734)}"
0043,"{'bpm': np.float64(58.38671779753064), 'ibi': np.float64(1027.630979498861), 'sdnn': np.float64(62.629114356661695), 'sdsd': np.float64(43.07334091836769), 'rmssd': np.float64(62.651412944159986), 'pnn20': 0.6237172177879133, 'pnn50': 0.30444697833523376, 'hr_mad': np.float64(40.0), 'sd1': np.float64(44.301227204358774), 'sd2': np.float64(76.72122611889665), 's': np.float64(10677.78481667311), 'sd1/sd2': np.float64(0.5774311679495859), 'breathingrate': np.float64(0.14408263693392148)}"
